"Quarter","Time","Quarter_Time","Team","Play","Home_Points","Away_Points","Game_Id"
1,0,12,"BOS","Al Horford vs. Kevin Love (Kyrie Irving gains possession)","0 "," 0","400974437"
1,0.266666666666667,11.7333333333333,"BOS","Kyrie Irving makes driving floating jump shot (Al Horford assists)","2 "," 0","400974437"
1,0.550000000000001,11.45,"CLE","Al Horford blocks Derrick Rose 's 2-foot layup","2 "," 0","400974437"
1,0.616666666666667,11.3833333333333,"BOS","Al Horford defensive rebound","2 "," 0","400974437"
1,0.65,11.35,"BOS","Gordon Hayward misses 26-foot three point jumper","2 "," 0","400974437"
1,0.699999999999999,11.3,"CLE","Derrick Rose defensive rebound","2 "," 0","400974437"
1,0.966666666666667,11.0333333333333,"CLE","Kevin Love misses 16-foot jumper","2 "," 0","400974437"
1,1.01666666666667,10.9833333333333,"BOS","Jaylen Brown defensive rebound","2 "," 0","400974437"
1,1.15,10.85,"BOS","LeBron James blocks Jayson Tatum 's 3-foot layup","2 "," 0","400974437"
1,1.15,10.85,"BOS","Celtics offensive team rebound","2 "," 0","400974437"
1,1.2,10.8,"BOS","Al Horford makes 20-foot jumper (Kyrie Irving assists)","4 "," 0","400974437"
1,1.46666666666667,10.5333333333333,"BOS","Jayson Tatum defensive 3-seconds (technical foul)","4 "," 0","400974437"
1,1.46666666666667,10.5333333333333,"CLE","Kevin Love makes technical free throw","4 "," 1","400974437"
1,1.65,10.35,"CLE","Jae Crowder makes 22-foot jumper (Dwyane Wade assists)","4 "," 3","400974437"
1,1.91666666666667,10.0833333333333,"BOS","Jaylen Brown palming turnover","4 "," 3","400974437"
1,2.06666666666667,9.93333333333333,"BOS","Jayson Tatum personal foul","4 "," 3","400974437"
1,2.18333333333333,9.81666666666667,"CLE","Dwyane Wade makes 12-foot two point shot (LeBron James assists)","4 "," 5","400974437"
1,2.45,9.55,"BOS","Jaylen Brown misses driving dunk","4 "," 5","400974437"
1,2.48333333333333,9.51666666666667,"CLE","LeBron James defensive rebound","4 "," 5","400974437"
1,2.51666666666667,9.48333333333333,"CLE","Derrick Rose makes two point shot (LeBron James assists)","4 "," 7","400974437"
1,2.63333333333333,9.36666666666667,"CLE","Kevin Love personal foul","4 "," 7","400974437"
1,2.76666666666667,9.23333333333333,"BOS","Gordon Hayward makes 9-foot two point shot (Al Horford assists)","6 "," 7","400974437"
1,3.13333333333333,8.86666666666667,"CLE","Derrick Rose misses 27-foot three point jumper","6 "," 7","400974437"
1,3.18333333333333,8.81666666666667,"CLE","Jae Crowder offensive rebound","6 "," 7","400974437"
1,3.18333333333333,8.81666666666667,"BOS","Gordon Hayward shooting foul","6 "," 7","400974437"
1,3.18333333333333,8.81666666666667,"CLE","Jae Crowder makes free throw 1 of 2","6 "," 8","400974437"
1,3.18333333333333,8.81666666666667,"CLE","Jae Crowder makes free throw 2 of 2","6 "," 9","400974437"
1,3.43333333333333,8.56666666666667,"BOS","Kyrie Irving misses driving layup","6 "," 9","400974437"
1,3.45,8.55,"CLE","Kevin Love defensive rebound","6 "," 9","400974437"
1,3.65,8.35,"CLE","Dwyane Wade misses 15-foot two point shot","6 "," 9","400974437"
1,3.7,8.3,"BOS","Al Horford defensive rebound","6 "," 9","400974437"
