"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"G. Hayward","25","4","12","1","3","1","2","2","3","5","0","4","0","0","1","10","10","F","Played",TRUE,"4249","gordon-hayward","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Tatum","29","9","17","1","5","4","5","2","7","9","3","1","0","1","2","6","23","F","Played",TRUE,"4065648","jayson-tatum","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"A. Horford","30","4","7","0","1","1","1","0","4","4","2","0","4","3","1","9","9","C","Played",TRUE,"3213","al-horford","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"K. Irving","29","2","14","1","8","2","2","0","4","4","7","0","0","3","1","9","7","G","Played",TRUE,"6442","kyrie-irving","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Brown","28","5","13","1","3","1","2","3","2","5","2","0","0","2","4","11","12","G","Played",TRUE,"3917376","jaylen-brown","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"S. Ojeleye","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","F","Played",TRUE,"3056602","semi-ojeleye","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"G. Yabusele","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","F","Played",TRUE,"4017844","guerschon-yabusele","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"M. Morris Sr.","21","7","12","2","7","0","0","2","8","10","0","2","0","1","5","3","16","F","Played",TRUE,"6462","marcus-morris-sr","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Theis","4","0","0","0","0","0","0","0","1","1","0","0","0","0","1","3","0","C","Played",TRUE,"2451037","daniel-theis","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"A. Baynes","19","3","7","2","4","0","0","3","1","4","3","0","0","1","3","8","8","C","Played",TRUE,"2968439","aron-baynes","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"B. Wanamaker","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","2","2","G","Played",TRUE,"6507","brad-wanamaker","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"M. Smart","25","2","4","2","4","1","2","0","3","3","3","0","0","2","2","3","7","G","Played",TRUE,"2990992","marcus-smart","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"T. Rozier","27","5","10","1","2","0","0","0","8","8","1","0","1","1","0","22","11","G","Played",TRUE,"3074752","terry-rozier","BOS","PHI","401070213",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"R. Covington","34","3","10","2","7","0","0","1","5","6","0","2","1","2","1","-11","8","F","Played",TRUE,"2490620","robert-covington","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Saric","23","3","8","0","4","0","0","0","6","6","1","0","0","3","5","-4","6","F","Played",TRUE,"3032978","dario-saric","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Embiid","37","9","21","1","4","4","5","2","8","10","2","1","2","5","3","-8","23","C","Played",TRUE,"3059318","joel-embiid","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"B. Simmons","43","7","14","0","0","5","10","3","12","15","8","4","2","3","5","-8","19","G","Played",TRUE,"3907387","ben-simmons","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"M. Fultz","24","2","7","0","0","1","2","0","3","3","2","1","0","3","1","-16","5","G","Played",TRUE,"4066636","markelle-fultz","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Bolden","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","F","Played",TRUE,"3155533","jonah-bolden","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"A. Johnson","11","1","1","0","0","3","4","0","3","3","1","0","0","0","1","-10","5","F","Played",TRUE,"2769","amir-johnson","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"T.J. McConnell","22","2","5","0","1","0","0","0","1","1","3","0","0","0","3","-11","4","G","Played",TRUE,"2530530","tj-mcconnell","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Redick","30","7","17","2","8","0","0","0","2","2","1","0","0","0","1","-10","16","G","Played",TRUE,"3024","jj-redick","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"L. Shamet","13","0","4","0","2","1","2","0","1","1","0","0","0","0","0","-8","1","G","Played",TRUE,"3914044","landry-shamet","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"F. Korkmaz","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","G","Played",TRUE,"3929325","furkan-korkmaz","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"S. Milton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3915195","shake-milton","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Jackson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3059273","demetrius-jackson","PHI","BOS","401070213",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"K. Durant","38","9","21","0","5","9","10","1","7","8","6","1","1","3","4","14","27","F","Played",TRUE,"3202","kevin-durant","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Green","33","1","6","0","1","0","0","1","12","13","5","3","0","6","3","2","2","F","Played",TRUE,"6589","draymond-green","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Jones","27","6","7","0","0","0","0","2","1","3","2","0","3","2","4","-1","12","C","Played",TRUE,"3064559","damian-jones","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"S. Curry","37","11","20","5","9","5","5","0","8","8","9","1","0","3","4","15","32","G","Played",TRUE,"3975","stephen-curry","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"K. Thompson","35","5","20","1","8","3","3","1","3","4","0","0","0","2","3","2","14","G","Played",TRUE,"6475","klay-thompson","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"K. Looney","18","5","11","0","0","0","0","8","2","10","2","1","2","1","4","23","10","F","Played",TRUE,"3155535","kevon-looney","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Jerebko","6","0","0","0","0","0","0","0","3","3","0","0","0","1","2","0","0","F","Played",TRUE,"3998","jonas-jerebko","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Bell","7","0","0","0","0","0","0","1","1","2","0","0","1","0","1","-6","0","F","Played",TRUE,"3064427","jordan-bell","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"A. Iguodala","10","1","2","0","1","0","0","0","2","2","2","0","0","0","0","2","2","F","Played",TRUE,"2386","andre-iguodala","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"A. McKinnie","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","-1","0","F","Played",TRUE,"2530923","alfonzo-mckinnie","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"Q. Cook","13","1","2","1","1","0","0","1","1","2","1","0","0","2","2","-7","3","G","Played",TRUE,"2566745","quinn-cook","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"S. Livingston","15","3","5","0","0","0","0","2","1","3","1","1","0","1","2","-3","6","G","Played",TRUE,"2393","shaun-livingston","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Evans","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3934621","jacob-evans","GS","OKC","401070214",2018-10-16,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"P. Patterson","19","2","9","1","4","2","3","3","2","5","0","1","1","1","0","3","7","F","Played",TRUE,"4264","patrick-patterson","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"T. Ferguson","27","0","2","0","2","0","0","2","2","4","1","0","0","1","3","0","0","F","Played",TRUE,"4230546","terrance-ferguson","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"S. Adams","36","6","12","0","0","5","8","4","7","11","4","2","0","2","3","-6","17","C","Played",TRUE,"2991235","steven-adams","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Schroder","34","7","19","2","6","5","6","2","6","8","6","3","1","3","4","-7","21","G","Played",TRUE,"3032979","dennis-schroder","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"P. George","37","9","23","4","12","5","8","0","2","2","5","4","0","5","3","-16","27","G","Played",TRUE,"4251","paul-george","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Grant","29","2","7","1","4","2","4","2","0","2","2","0","3","0","1","-11","7","F","Played",TRUE,"2991070","jerami-grant","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"N. Noel","12","1","2","0","0","1","2","3","4","7","1","1","1","0","3","-2","3","C","Played",TRUE,"2991280","nerlens-noel","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"H. Diallo","9","2","4","0","0","0","1","0","1","1","1","1","0","0","2","5","4","G","Played",TRUE,"4080610","hamidou-diallo","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"R. Felton","14","1","5","0","3","4","5","0","3","3","1","0","0","2","0","-1","6","G","Played",TRUE,"2753","raymond-felton","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"A. Abrines","23","3","8","2","6","0","0","0","2","2","0","0","0","0","2","-5","8","G","Played",TRUE,"2995702","alex-abrines","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"A. Nader","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"2595435","abdel-nader","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"T. Luwawu-Cabarrot","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3893019","timothe-luwawu-cabarrot","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Burton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","G","DNP-COACH'S DECISION",FALSE,"3059358","deonte-burton","OKC","GS","401070214",2018-10-16,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"P.J. Tucker","34","6","11","4","7","3","4","0","2","2","1","1","1","0","2","-13","19","F","Played",TRUE,"3033","pj-tucker","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Ennis III","25","3","7","2","5","0","0","1","0","1","0","1","0","0","4","-5","8","F","Played",TRUE,"2579321","james-ennis-iii","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"C. Capela","26","4","9","0","0","0","0","3","5","8","1","0","1","1","3","-14","8","C","Played",TRUE,"3102529","clint-capela","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"C. Paul","32","6","12","3","7","4","5","0","5","5","6","2","0","1","3","-19","19","G","Played",TRUE,"2779","chris-paul","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Harden","35","6","15","3","8","3","4","2","7","9","10","3","1","4","2","-23","18","G","Played",TRUE,"3992","james-harden","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"C. Anthony","27","3","10","1","5","2","4","1","3","4","0","0","1","2","4","-20","9","F","Played",TRUE,"1975","carmelo-anthony","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"G. Clark","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","F","Played",TRUE,"3132042","gary-clark","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"I. Hartenstein","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","C","Played",TRUE,"4222252","isaiah-hartenstein","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"M. Carter-Williams","18","4","10","1","3","1","2","1","3","4","2","0","2","3","3","3","10","G","Played",TRUE,"2596108","michael-carter-williams","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"E. Gordon","29","7","14","2","9","5","5","0","3","3","1","0","0","0","0","-11","21","G","Played",TRUE,"3431","eric-gordon","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
"G. Green","10","0","4","0","4","0","0","0","1","1","0","1","1","0","1","3","0","G","Played",TRUE,"2761","gerald-green","HOU","NO","401070215",2018-10-17,TRUE,0,0,2019,"Regular-Season","L","Non-Playoff"
