"Player_Id","Player_Id_Str","Player","Position","Short_Name","Salary","Season","Team_Id","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team","Team"
"1015","tony-parker",NA,"G","CHA",NA,2019,"charlotte-hornets",NA,NA,NA,NA,NA,2001,1,28,"SA","Hornets"
"136","vince-carter",NA,"G","ATL",NA,2019,"atlanta-hawks",NA,NA,NA,NA,NA,1998,1,5,"GS","Hawks"
"165","jamal-crawford",NA,"G","PHX",NA,2019,"phoenix-suns",NA,NA,NA,NA,NA,2000,1,8,"CLE","Suns"
"1713","nene",NA,"C","HOU",NA,2019,"houston-rockets",NA,NA,NA,NA,NA,2002,1,7,"NY","Rockets"
"1966","lebron-james",NA,"F","LAL",NA,2019,"los-angeles-lakers",6.75,6,9,250,1984-12-30,2003,1,1,"CLE","Lakers"
"1975","carmelo-anthony",NA,"F","HOU",NA,2019,"houston-rockets",6.58333333333333,6,7,238,1984-05-29,2003,1,3,"DEN","Rockets"
"1987","dwyane-wade",NA,"G","MIA",NA,2019,"miami-heat",NA,NA,NA,NA,NA,2003,1,5,"MIA","Heat"
"2011","kyle-korver",NA,"G","UTAH",NA,2019,"utah-jazz",NA,NA,NA,NA,NA,2003,2,51,"NJ","Jazz"
"2016","zaza-pachulia",NA,"C","DET",NA,2019,"detroit-pistons",NA,NA,NA,NA,NA,2003,2,42,"ORL","Pistons"
"2184","udonis-haslem",NA,"F","MIA",NA,2019,"miami-heat",6.66666666666667,6,8,235,1980-06-09,NA,NA,NA,NA,"Heat"
"2282117","john-holland",NA,"G","CLE",NA,2019,"cleveland-cavaliers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cavaliers"
"2282734","kalin-lucas",NA,"G","DET",NA,2019,"detroit-pistons",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pistons"
"2284101","justin-holiday",NA,"G","MEM",NA,2019,"memphis-grizzlies",6.5,6,6,181,1989-04-05,NA,NA,NA,NA,"Grizzlies"
"2325499","cj-williams",NA,"G","MIN",NA,2019,"minnesota-timberwolves",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timberwolves"
"2326307","seth-curry",NA,"G","POR",NA,2019,"portland-trail-blazers",6.16666666666667,6,2,192,1990-08-23,NA,NA,NA,NA,"Trail Blazers"
"2326411","james-nunnally",NA,"G","HOU",NA,2019,"houston-rockets",6.5,6,6,210,1990-07-14,NA,NA,NA,NA,"Rockets"
"2327577","jamychal-green",NA,"F","LAC",NA,2019,"la-clippers",6.66666666666667,6,8,227,1990-06-21,NA,NA,NA,NA,"Clippers"
"2328418","scotty-hopson",NA,"G","OKC",NA,2019,"oklahoma-city-thunder",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunder"
"2382","devin-harris",NA,"G","DAL",NA,2019,"dallas-mavericks",NA,NA,NA,NA,NA,2004,1,5,"WSH","Mavericks"
"2384","dwight-howard",NA,"C","WSH",NA,2019,"washington-wizards",6.83333333333333,6,10,260,1985-12-08,2004,1,1,"ORL","Wizards"
"2386","andre-iguodala",NA,"F","GS",NA,2019,"golden-state-warriors",6.5,6,6,215,1984-01-28,2004,1,9,"PHI","Warriors"
"2393","shaun-livingston",NA,"G","GS",NA,2019,"golden-state-warriors",NA,NA,NA,NA,NA,2004,1,4,"LAC","Warriors"
"2426","trevor-ariza",NA,"F","WSH",NA,2019,"washington-wizards",6.66666666666667,6,8,215,1985-06-30,2004,2,43,"NY","Wizards"
"2429","luol-deng",NA,"F","MIN",NA,2019,"minnesota-timberwolves",NA,NA,NA,NA,NA,2004,1,7,"PHX","Timberwolves"
"2444","jr-smith",NA,"G","CLE",NA,2019,"cleveland-cavaliers",NA,NA,NA,NA,NA,2004,1,18,"NO","Cavaliers"
"2451037","daniel-theis",NA,"C","BOS",NA,2019,"boston-celtics",6.66666666666667,6,8,245,1992-04-04,NA,NA,NA,NA,"Celtics"
"2488653","mason-plumlee",NA,"C","DEN",NA,2019,"denver-nuggets",6.91666666666667,6,11,254,1990-03-05,2013,1,22,"BKN","Nuggets"
"2488826","rodney-mcgruder",NA,"G","MIA",NA,2019,"miami-heat",6.33333333333333,6,4,205,1991-07-29,NA,NA,NA,NA,"Heat"
"2488945","tim-frazier",NA,"G","NO",NA,2019,"new-orleans-pelicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pelicans"
"2488958","solomon-hill",NA,"F","NO",NA,2019,"new-orleans-pelicans",6.5,6,6,226,1991-03-18,2013,1,23,"IND","Pelicans"
"2489530","troy-daniels",NA,"G","PHX",NA,2019,"phoenix-suns",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suns"
"2489563","dj-stephens",NA,"G","MEM",NA,2019,"memphis-grizzlies",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grizzlies"
"2489663","kelly-olynyk",NA,"F","MIA",NA,2019,"miami-heat",6.91666666666667,6,11,240,1991-04-19,2013,1,13,"DAL","Heat"
"2489693","ryan-broekhoff",NA,"G","DAL",NA,2019,"dallas-mavericks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mavericks"
"2489716","matthew-dellavedova",NA,"G","CLE",NA,2019,"cleveland-cavaliers",6.25,6,3,204,1990-09-08,NA,NA,NA,NA,"Cavaliers"
"2489785","ian-clark",NA,"G","NO",NA,2019,"new-orleans-pelicans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pelicans"
"2490089","mike-muscala",NA,"C","LAL",NA,2019,"los-angeles-lakers",6.83333333333333,6,10,240,1991-07-01,2013,2,44,"DAL","Lakers"
"2490149","cj-mccollum",NA,"G","POR",NA,2019,"portland-trail-blazers",6.25,6,3,190,1991-09-19,2013,1,10,"POR","Trail Blazers"
"2490589","isaiah-canaan",NA,"G","MIL",NA,2019,"milwaukee-bucks",NA,NA,NA,NA,NA,2013,2,34,"HOU","Bucks"
"2490620","robert-covington",NA,"F","MIN",NA,2019,"minnesota-timberwolves",6.58333333333333,6,7,209,1990-12-14,NA,NA,NA,NA,"Timberwolves"
"2527963","victor-oladipo",NA,"G","IND",NA,2019,"indiana-pacers",6.33333333333333,6,4,210,1992-05-04,2013,1,2,"ORL","Pacers"
"2528210","tim-hardaway-jr",NA,"F","DAL",NA,2019,"dallas-mavericks",6.41666666666667,6,5,205,1992-03-16,2013,1,24,"NY","Mavericks"
"2528353","tony-snell",NA,"G","MIL",NA,2019,"milwaukee-bucks",6.5,6,6,213,1991-11-10,2013,1,20,"CHI","Bucks"
"2528426","jordan-clarkson",NA,"G","CLE",NA,2019,"cleveland-cavaliers",6.33333333333333,6,4,192,1992-06-07,2014,2,46,"WSH","Cavaliers"
"2528473","okaro-white",NA,"F","WSH",NA,2019,"washington-wizards",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wizards"
"2528588","doug-mcdermott",NA,"F","IND",NA,2019,"indiana-pacers",6.58333333333333,6,7,225,1992-01-03,2014,1,11,"DEN","Pacers"
"2528693","torrey-craig",NA,"F","DEN",NA,2019,"denver-nuggets",6.58333333333333,6,7,225,1990-12-19,NA,NA,NA,NA,"Nuggets"
"2528779","reggie-bullock",NA,"F","LAL",NA,2019,"los-angeles-lakers",6.5,6,6,189,1991-03-16,2013,1,25,"LAC","Lakers"
"2528787","lorenzo-brown",NA,"G","TOR",NA,2019,"toronto-raptors",6.41666666666667,6,5,189,1990-08-26,2013,2,52,"MIN","Raptors"
"2528794","joe-harris",NA,"F","BKN",NA,2019,"brooklyn-nets",6.5,6,6,220,1991-09-06,2014,2,33,"CLE","Nets"
