Date,Team,Opponent,Season,Game_Id,Line_Favored,Line_Amount,Over_Under,Money_Line,Money_Line_Opp,Implied_Odds,Implied_Odds_Opp,Time_Stamp
1/3/2021,Boston,Detroit,2021,401267245,BOS,-8.5,213.5,-355,295,0.78021978,0.253164557,1/3/2021 12:52
1/3/2021,Detroit,Boston,2021,401267245,BOS,-8.5,213.5,295,-355,0.253164557,0.78021978,1/3/2021 12:52
1/3/2021,Brooklyn,Washington,2021,401267246,BKN,-7.5,241,-310,255,0.756097561,0.281690141,1/3/2021 12:52
1/3/2021,Washington,Brooklyn,2021,401267246,BKN,-7.5,241,255,-310,0.281690141,0.756097561,1/3/2021 12:52
1/3/2021,Los Angeles,Memphis,2021,401267247,LAL,-9.5,221.5,-500,400,0.833333333,0.2,1/3/2021 12:52
1/3/2021,Memphis,Los Angeles,2021,401267247,LAL,-9.5,221.5,400,-500,0.2,0.833333333,1/3/2021 12:52
1/3/2021,Denver,Minnesota,2021,401267248,DEN,-8.5,226,-400,320,0.8,0.238095238,1/3/2021 12:52
1/3/2021,Minnesota,Denver,2021,401267248,DEN,-8.5,226,320,-400,0.238095238,0.8,1/3/2021 12:52
1/3/2021,San Antonio,Utah,2021,401267249,UTAH,-4.5,220,165,-185,0.377358491,0.649122807,1/3/2021 12:52
1/3/2021,Utah,San Antonio,2021,401267249,UTAH,-4.5,220,-185,165,0.649122807,0.377358491,1/3/2021 12:52
1/3/2021,Chicago,Dallas,2021,401267250,DAL,-6,224,205,-245,0.327868852,0.710144928,1/3/2021 12:52
1/3/2021,Dallas,Chicago,2021,401267250,DAL,-6,224,-245,205,0.710144928,0.327868852,1/3/2021 12:52
1/3/2021,LA,Phoenix,2021,401267251,LAC,-3.5,216.5,-165,145,0.622641509,0.408163265,1/3/2021 12:52
1/3/2021,Phoenix,LA,2021,401267251,LAC,-3.5,216.5,145,-165,0.408163265,0.622641509,1/3/2021 12:52
1/3/2021,Golden State,Portland,2021,401267252,POR,-5,235,175,-200,0.363636364,0.666666667,1/3/2021 12:52
1/3/2021,Portland,Golden State,2021,401267252,POR,-5,235,-200,175,0.666666667,0.363636364,1/3/2021 12:52
1/3/2021,Boston,Detroit,2021,401267245,BOS,-8.5,213.5,-355,295,0.78021978,0.253164557,1/3/2021 19:12
1/3/2021,Detroit,Boston,2021,401267245,BOS,-8.5,213.5,295,-355,0.253164557,0.78021978,1/3/2021 19:12
1/3/2021,Brooklyn,Washington,2021,401267246,BKN,-7.5,242,-310,255,0.756097561,0.281690141,1/3/2021 19:12
1/3/2021,Washington,Brooklyn,2021,401267246,BKN,-7.5,242,255,-310,0.281690141,0.756097561,1/3/2021 19:12
1/3/2021,Los Angeles,Memphis,2021,401267247,LAL,-9.5,219.5,-400,320,0.8,0.238095238,1/3/2021 19:12
1/3/2021,Memphis,Los Angeles,2021,401267247,LAL,-9.5,219.5,320,-400,0.238095238,0.8,1/3/2021 19:12
1/3/2021,Denver,Minnesota,2021,401267248,DEN,-8.5,226.5,-380,310,0.791666667,0.243902439,1/3/2021 19:12
1/3/2021,Minnesota,Denver,2021,401267248,DEN,-8.5,226.5,310,-380,0.243902439,0.791666667,1/3/2021 19:12
1/3/2021,San Antonio,Utah,2021,401267249,UTAH,-4.5,220.5,165,-185,0.377358491,0.649122807,1/3/2021 19:12
1/3/2021,Utah,San Antonio,2021,401267249,UTAH,-4.5,220.5,-185,165,0.649122807,0.377358491,1/3/2021 19:12
1/3/2021,Chicago,Dallas,2021,401267250,DAL,-6,225.5,205,-245,0.327868852,0.710144928,1/3/2021 19:12
1/3/2021,Dallas,Chicago,2021,401267250,DAL,-6,225.5,-245,205,0.710144928,0.327868852,1/3/2021 19:12
1/3/2021,LA,Phoenix,2021,401267251,LAC,-3.5,215.5,-165,145,0.622641509,0.408163265,1/3/2021 19:12
1/3/2021,Phoenix,LA,2021,401267251,LAC,-3.5,215.5,145,-165,0.408163265,0.622641509,1/3/2021 19:12
1/3/2021,Golden State,Portland,2021,401267252,POR,-4.5,235,170,-190,0.37037037,0.655172414,1/3/2021 19:12
1/3/2021,Portland,Golden State,2021,401267252,POR,-4.5,235,-190,170,0.655172414,0.37037037,1/3/2021 19:12
