"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team","Team"
"3975","stephen-curry","Stephen Curry","G","GS","golden-state-warriors","43006362",2020,6.25,6,3,193,1988-03-14,2009,1,7,"GS","Golden State Warriors"
"3468","russell-westbrook","Russell Westbrook","PG","WSH","washington-wizards","41358814",2020,6.25,6,3,200,1988-11-12,2008,1,4,"SEA","Washington Wizards"
"2779","chris-paul","Chris Paul","G","PHX","phoenix-suns","41358814",2020,6,6,0,175,1985-05-06,2005,1,4,"NO","Phoenix Suns"
"3992","james-harden","James Harden","G","BKN","brooklyn-nets","41254920",2020,6.41666666666667,6,5,220,1989-08-26,2009,1,3,"OKC","Brooklyn Nets"
"4237","john-wall","John Wall","PG","HOU","houston-rockets","41254920",2020,6.25,6,3,210,1990-09-06,2010,1,1,"WSH","Houston Rockets"
"3202","kevin-durant","Kevin Durant","F","BKN","brooklyn-nets","40108950",2020,6.83333333333333,6,10,225,1988-09-29,2007,1,2,"SEA","Brooklyn Nets"
"1966","lebron-james","LeBron James","F","LAL","los-angeles-lakers","39219565",2020,6.75,6,9,250,1984-12-30,2003,1,1,"CLE","Los Angeles Lakers"
"3989","blake-griffin","Blake Griffin","F","DET","detroit-pistons","36810996",2020,NA,NA,NA,NA,NA,2009,1,1,"LAC","Detroit Pistons"
"4251","paul-george","Paul George","F","LAC","la-clippers","35450412",2020,6.66666666666667,6,8,220,1990-05-02,2010,1,10,"IND","LA Clippers"
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","35361360",2020,6.5,6,6,215,1990-02-08,2011,1,11,"GS","Golden State Warriors"
"3195","mike-conley","Mike Conley","G","UTAH","utah-jazz","34502130",2020,6.08333333333333,6,1,175,1987-10-11,2007,1,4,"MEM","Utah Jazz"
"6430","jimmy-butler","Jimmy Butler","SF","MIA","miami-heat","34379100",2020,6.58333333333333,6,7,230,1989-09-14,2011,1,30,"CHI","Miami Heat"
"6450","kawhi-leonard","Kawhi Leonard","F","LAC","la-clippers","34379100",2020,6.58333333333333,6,7,225,1991-06-29,2011,1,15,"IND","LA Clippers"
"6479","kemba-walker","Kemba Walker","PG","BOS","boston-celtics","34379100",2020,6,6,0,184,1990-05-08,2011,1,9,"CHA","Boston Celtics"
"6440","tobias-harris","Tobias Harris","PF","PHI","philadelphia-76ers","34358850",2020,6.66666666666667,6,8,228,1992-07-15,2011,1,19,"CHA","Philadelphia 76ers"
"6609","khris-middleton","Khris Middleton","SF","MIL","milwaukee-bucks","33051724",2020,6.58333333333333,6,7,217,1991-08-12,2012,2,39,"DET","Milwaukee Bucks"
"6583","anthony-davis","Anthony Davis","F","LAL","los-angeles-lakers","32742000",2020,6.83333333333333,6,10,253,1993-03-11,2012,1,1,"NO","Los Angeles Lakers"
"6442","kyrie-irving","Kyrie Irving","G","BKN","brooklyn-nets","31742000",2020,6.16666666666667,6,2,199,1992-03-23,2011,1,1,"CLE","Brooklyn Nets"
"6606","damian-lillard","Damian Lillard","G","POR","portland-trail-blazers","31626953",2020,6.16666666666667,6,2,195,1990-07-15,2012,1,6,"POR","Portland Trail Blazers"
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","31258256",2020,6.66666666666667,6,8,247,1988-09-07,2008,1,5,"MEM","Cleveland Cavaliers"
"3149673","pascal-siakam","Pascal Siakam","PF","TOR","toronto-raptors","30559200",2020,6.75,6,9,230,1994-04-02,2016,1,27,"TOR","Toronto Raptors"
"3907387","ben-simmons","Ben Simmons","F","PHI","philadelphia-76ers","30559200",2020,6.91666666666667,6,11,240,1996-07-20,2016,1,1,"PHI","Philadelphia 76ers"
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","30500000",2020,6,6,0,196,1986-03-25,2006,1,24,"MEM","Toronto Raptors"
"2991235","steven-adams","Steven Adams","C","NO","new-orleans-pelicans","29592696",2020,6.91666666666667,6,11,265,1993-07-20,2013,1,12,"OKC","New Orleans Pelicans"
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","29542010",2020,7,7,0,280,1994-03-16,2014,1,3,"PHI","Philadelphia 76ers"
"3059319","andrew-wiggins","Andrew Wiggins","SF","GS","golden-state-warriors","29542010",2020,6.58333333333333,6,7,205,1995-02-23,2014,1,1,"CLE","Golden State Warriors"
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","29542010",2020,6.91666666666667,6,11,284,1995-02-19,2014,2,41,"DEN","Denver Nuggets"
"3136193","devin-booker","Devin Booker","G","PHX","phoenix-suns","29467800",2020,6.41666666666667,6,5,206,1996-10-30,2015,1,13,"PHX","Phoenix Suns"
"3136195","karl-anthony-towns","Karl-Anthony Towns","C","MIN","minnesota-timberwolves","29467800",2020,6.91666666666667,6,11,250,1995-11-15,2015,1,1,"MIN","Minnesota Timberwolves"
"3102531","kristaps-porzingis","Kristaps Porzingis","C","DAL","dallas-mavericks","29467800",2020,7.25,7,3,240,1995-08-02,2015,1,4,"NY","Dallas Mavericks"
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","29354152",2020,6.25,6,3,190,1991-09-19,2013,1,10,"POR","Portland Trail Blazers"
"6580","bradley-beal","Bradley Beal","G","WSH","washington-wizards","28751775",2020,6.25,6,3,207,1993-06-28,2012,1,3,"WSH","Washington Wizards"
"6585","andre-drummond","Andre Drummond","C","CLE","cleveland-cavaliers","28751775",2020,6.83333333333333,6,10,279,1993-08-10,2012,1,9,"DET","Cleveland Cavaliers"
"3136776","d'angelo-russell","D'Angelo Russell","PG","MIN","minnesota-timberwolves","28649250",2020,6.33333333333333,6,4,193,1996-02-23,2015,1,2,"LAL","Minnesota Timberwolves"
"4249","gordon-hayward","Gordon Hayward","SF","CHA","charlotte-hornets","28500000",2020,6.58333333333333,6,7,225,1990-03-23,2010,1,9,"UTAH","Charlotte Hornets"
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","CHI","chicago-bulls","28489237",2020,6.66666666666667,6,8,228,1993-06-03,2013,1,3,"WSH","Chicago Bulls"
"3978","demar-derozan","DeMar DeRozan","SF","SA","san-antonio-spurs","27739975",2020,6.5,6,6,220,1989-08-07,2009,1,9,"TOR","San Antonio Spurs"
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","F","MIL","milwaukee-bucks","27528090",2020,6.91666666666667,6,11,250,1994-12-06,2013,1,15,"MIL","Milwaukee Bucks"
"3032976","rudy-gobert","Rudy Gobert","C","UTAH","utah-jazz","27525281",2020,7,7,0,245,1992-06-26,2013,1,27,"DEN","Utah Jazz"
"3213","al-horford","Al Horford","C","OKC","oklahoma-city-thunder","27500000",2020,6.75,6,9,240,1986-06-03,2007,1,3,"ATL","Oklahoma City Thunder"
"3936299","jamal-murray","Jamal Murray","PG","DEN","denver-nuggets","27285000",2020,6.25,6,3,215,1997-02-23,2016,1,7,"DEN","Denver Nuggets"
"3913176","brandon-ingram","Brandon Ingram","SF","NO","new-orleans-pelicans","27285000",2020,6.66666666666667,6,8,190,1997-09-02,2016,1,2,"LAL","New Orleans Pelicans"
"3995","jrue-holiday","Jrue Holiday","PG","MIL","milwaukee-bucks","26231111",2020,6.25,6,3,229,1990-06-12,2009,1,17,"PHI","Milwaukee Bucks"
"6478","nikola-vucevic","Nikola Vucevic","C","ORL","orlando-magic","26000000",2020,6.91666666666667,6,11,260,1990-10-24,2011,1,16,"PHI","Orlando Magic"
"6466","chandler-parsons","Chandler Parsons","SF","ATL","atlanta-hawks","25102511",2020,NA,NA,NA,NA,NA,2011,2,38,"HOU","Atlanta Hawks"
"2990984","buddy-hield","Buddy Hield","SG","SAC","sacramento-kings","24701834",2020,6.33333333333333,6,4,220,1992-12-17,2016,1,6,"NO","Sacramento Kings"
"2983","lamarcus-aldridge","LaMarcus Aldridge","C","SA","san-antonio-spurs","24000000",2020,6.91666666666667,6,11,265,1985-07-19,2006,1,2,"CHI","San Antonio Spurs"
"3917376","jaylen-brown","Jaylen Brown","G","BOS","boston-celtics","23735118",2020,6.5,6,6,223,1996-10-24,2016,1,3,"BOS","Boston Celtics"
"6589","draymond-green","Draymond Green","PF","GS","golden-state-warriors","22246956",2020,6.5,6,6,235,1990-03-04,2012,2,35,"GS","Golden State Warriors"
"6578","harrison-barnes","Harrison Barnes","SF","SAC","sacramento-kings","22215909",2020,6.66666666666667,6,8,225,1992-05-30,2012,1,7,"GS","Sacramento Kings"
"2991230","fred-vanvleet","Fred VanVleet","SG","TOR","toronto-raptors","21250000",2020,6.08333333333333,6,1,195,1994-02-25,NA,NA,NA,NA,"Toronto Raptors"
"2527963","victor-oladipo","Victor Oladipo","SG","IND","indiana-pacers","21000000",2020,6.33333333333333,6,4,210,1992-05-04,2013,1,2,"ORL","Indiana Pacers"
"2566769","malcolm-brogdon","Malcolm Brogdon","PG","IND","indiana-pacers","20700000",2020,6.41666666666667,6,5,229,1992-12-11,2016,2,36,"MIL","Indiana Pacers"
"3155942","domantas-sabonis","Domantas Sabonis","F","IND","indiana-pacers","19800000",2020,6.91666666666667,6,11,240,1996-05-03,2016,1,11,"ORL","Indiana Pacers"
"2999547","gary-harris","Gary Harris","SG","DEN","denver-nuggets","19610714",2020,6.33333333333333,6,4,205,1994-09-14,2014,1,19,"CHI","Denver Nuggets"
"3064440","zach-lavine","Zach LaVine","G","CHI","chicago-bulls","19500000",2020,6.41666666666667,6,5,202,1995-03-10,2014,1,13,"MIN","Chicago Bulls"
"3428","danilo-gallinari","Danilo Gallinari","PF","ATL","atlanta-hawks","19500000",2020,6.83333333333333,6,10,233,1988-08-08,2008,1,6,"NY","Atlanta Hawks"
"2991070","jerami-grant","Jerami Grant","SF","DET","detroit-pistons","19050000",2020,6.66666666666667,6,8,210,1994-03-12,2014,2,39,"PHI","Detroit Pistons"
"2528210","tim-hardaway-jr.","Tim Hardaway Jr.","SF","DAL","dallas-mavericks","18975000",2020,6.41666666666667,6,5,205,1992-03-16,2013,1,24,"NY","Dallas Mavericks"
"3074752","terry-rozier","Terry Rozier","SG","CHA","charlotte-hornets","18900000",2020,6.08333333333333,6,1,190,1994-03-17,2015,1,16,"BOS","Charlotte Hornets"
"3064514","julius-randle","Julius Randle","F","NY","new-york-knicks","18900000",2020,6.66666666666667,6,8,254,1994-11-29,2014,1,7,"LAL","New York Knicks"
"2531210","allen-crabbe","Allen Crabbe","G","MIN","minnesota-timberwolves","18500000",2020,NA,NA,NA,NA,NA,2013,2,31,"CLE","Minnesota Timberwolves"
"3064290","aaron-gordon","Aaron Gordon","PF","ORL","orlando-magic","18136364",2020,6.66666666666667,6,8,235,1995-09-16,2014,1,4,"ORL","Orlando Magic"
"3423","goran-dragic","Goran Dragic","PG","MIA","miami-heat","18000000",2020,6.25,6,3,190,1986-05-06,2008,2,45,"SA","Miami Heat"
"3133628","myles-turner","Myles Turner","C","IND","indiana-pacers","18000000",2020,6.91666666666667,6,11,250,1996-03-24,2015,1,11,"IND","Indiana Pacers"
"3037789","bogdan-bogdanovic","Bogdan Bogdanovic","SG","ATL","atlanta-hawks","18000000",2020,6.5,6,6,220,1992-08-18,2014,1,27,"PHX","Atlanta Hawks"
"3593","bojan-bogdanovic","Bojan Bogdanovic","SF","UTAH","utah-jazz","17850000",2020,6.66666666666667,6,8,216,1989-04-18,2011,2,31,"MIA","Utah Jazz"
"2534781","gorgui-dieng","Gorgui Dieng","C","MEM","memphis-grizzlies","17287640",2020,6.83333333333333,6,10,252,1990-01-18,2013,1,21,"UTAH","Memphis Grizzlies"
"6588","evan-fournier","Evan Fournier","SG","ORL","orlando-magic","17150000",2020,6.58333333333333,6,7,205,1992-10-29,2012,1,20,"DEN","Orlando Magic"
"4011","ricky-rubio","Ricky Rubio","PG","MIN","minnesota-timberwolves","17000000",2020,6.25,6,3,199,1990-10-21,2009,1,5,"MIN","Minnesota Timberwolves"
"4238","eric-bledsoe","Eric Bledsoe","SG","NO","new-orleans-pelicans","16875000",2020,6.08333333333333,6,1,214,1989-12-09,2010,1,18,"OKC","New Orleans Pelicans"
"3431","eric-gordon","Eric Gordon","SG","HOU","houston-rockets","16869276",2020,6.25,6,3,215,1988-12-25,2008,1,7,"LAC","Houston Rockets"
"4298","timofey-mozgov","Timofey Mozgov","C","ORL","orlando-magic","16720000",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orlando Magic"
"2991043","caris-levert","Caris LeVert","SG","BKN","brooklyn-nets","16203704",2020,6.5,6,6,205,1994-08-25,2016,1,20,"IND","Brooklyn Nets"
"2528794","joe-harris","Joe Harris","SF","BKN","brooklyn-nets","16071429",2020,6.5,6,6,220,1991-09-06,2014,2,33,"CLE","Brooklyn Nets"
"3999","james-johnson","James Johnson","PF","DAL","dallas-mavericks","16047100",2020,6.58333333333333,6,7,240,1987-02-20,2009,1,16,"CHI","Dallas Mavericks"
"3032979","dennis-schroder","Dennis Schroder","PG","LAL","los-angeles-lakers","16000000",2020,6.25,6,3,172,1993-09-15,2013,1,17,"ATL","Los Angeles Lakers"
"3102529","clint-capela","Clint Capela","C","ATL","atlanta-hawks","16000000",2020,6.83333333333333,6,10,240,1994-05-18,2014,1,25,"HOU","Atlanta Hawks"
"2579258","cody-zeller","Cody Zeller","C","CHA","charlotte-hornets","15415730",2020,6.91666666666667,6,11,240,1992-10-05,2013,1,4,"CHA","Charlotte Hornets"
"3988","danny-green","Danny Green","SF","PHI","philadelphia-76ers","15365853",2020,6.5,6,6,210,1987-06-22,2009,2,46,"CLE","Philadelphia 76ers"
"6477","jonas-valanciunas","Jonas Valanciunas","C","MEM","memphis-grizzlies","15000000",2020,6.91666666666667,6,11,265,1992-05-06,2011,1,5,"TOR","Memphis Grizzlies"
