"","Team","FBS"
"1","Boston College",1
"2","Holy Cross",0
"3","Harvard",0
"4","Northeastern",0
"5","Long Island University",0
"6","UMass",1
"7","Towson",0
"8","Arizona",1
"9","Maryland",1
"10","Michigan State",1
"11","Cal Poly",0
"12","Michigan",1
"13","Minnesota",1
"14","Missouri",1
"15","Ole Miss",1
"16","Montana State",0
"17","Montana",0
"18","Duke",1
"19","East Carolina",1
"20","NC State",1
"21","North Carolina",1
"22","Wake Forest",1
"23","North Dakota",0
"24","Nebraska",1
"25","Dartmouth",0
"26","Sacramento State",0
"27","New Hampshire",0
"28","Princeton",0
"29","Rutgers",1
"30","New Mexico State",1
"31","New Mexico",1
"32","Columbia",0
"33","Cornell",0
"34","Syracuse",1
"35","Bowling Green",1
"36","Miami (OH)",1
"37","Ohio State",1
"38","Ohio",1
"39","Oklahoma State",1
"40","Auburn",1
"41","Abilene Christian",0
"42","Air Force",1
"43","Akron",1
"44","Oklahoma",1
"45","Alabama A&M",0
"46","Alabama State",0
"47","Alcorn State",0
"48","Tulsa",1
"49","Appalachian State",1
"50","Arkansas-Pine Bluff",0
"51","Arkansas State",1
"52","Oregon State",1
"53","Austin Peay",0
"54","Ball State",1
"55","Bethune-Cookman",0
"56","Bucknell",0
"57","Buffalo",1
"58","Butler",0
"59","Campbell",0
"60","Canisius",0
"61","San Diego State",1
"62","Carroll (MT)",0
"63","Central Arkansas",0
"64","Central Connecticut",0
"65","Ucf",1
"66","Central Michigan",1
"67","Charleston Southern",0
"68","Penn State",1
"69","Cincinnati",1
"70","Colgate",0
"71","Davidson",0
"72","Dayton",0
"73","Delaware State",0
"74","Temple",1
"75","Drake",0
"76","Duquesne",0
"77","Penn",0
"78","East Tenn. St.",0
"79","Eastern Illinois",0
"80","Eastern Kentucky",0
"81","Eastern Michigan",1
"82","Pittsburgh",1
"83","Elon",0
"84","Fairfield",0
"85","Villanova",0
"86","Florida Atlantic",1
"87","Florida International",1
"88","Fordham",0
"89","Gardner-Webb",0
"90","Georgetown (KY)",0
"91","Georgia State",1
"92","Brown",0
"93","Hampton",0
"94","Rhode Island",0
"95","Hofstra",0
"96","Houston Baptist",0
"97","Clemson",1
"98","Illinois State",0
"99","Iowa",1
"100","Jackson State",0
"101","San Jose St",1
"102","Kansas",1
"103","Kansas State",1
"104","Kent State",1
"105","Furman",0
"106","Lamar",0
"107","La Salle",0
"108","Lehigh",0
"109","South Dakota",0
"110","Liberty",1
"111","Louisiana Tech",1
"112","Memphis",1
"113","Chattanooga",0
"114","Marist",0
"115","McNeese",0
"116","Vanderbilt",1
"117","Mercer",0
"118","Baylor",1
"119","Miami",1
"120","Middle Tennessee",1
"121","Stanford",1
"122","Mississippi Valley State",0
"123","Monmouth",0
"124","Morehead State",0
"125","Morgan State",0
"126","Rice",1
"127","Navy",1
"128","NC Central",0
"129","Charlotte",1
"130","UL Monroe",1
"131","UNLV",1
"132","Nevada",1
"133","Nicholls",0
"134","North Carolina A&T",0
"135","North Dakota State",0
"136","Texas A&M",1
"137","Norfolk State",0
"138","North Alabama",0
"139","Northern Colorado",0
"140","Northern Illinois",1
"141","Northern Iowa",0
"142","CS-Northridge",0
"143","Northern Arizona",0
"144","Northwestern State",0
"145","Houston",1
"146","Oregon",1
"147","North Texas",1
"148","California",1
"149","Portland State",0
"150","Prairie View",0
"151","Presbyterian",0
"152","Purdue",1
"153","Texas",1
"154","BYU",1
"155","Robert Morris",0
"156","Sacred Heart",0
"157","Southern Utah",0
"158","Sam Houston State",0
"159","Samford",0
"160","Utah",1
"161","SE Louisiana",0
"162","Southeast Missouri State",0
"163","James Madison",0
"164","Siena",0
"165","SMU",1
"166","South Carolina State",0
"167","Richmond",0
"168","South Dakota State",0
"169","Southern Mississippi",1
"170","South Carolina",1
"171","Virginia",1
"172","Southern",0
"173","Virginia Tech",1
"174","St. Cloud State",0
"175","St Francis (PA)",0
"176","St. John's",0
"177","UCLA",1
"178","St. Mary's (CA)",0
"179","Stephen F Austin",0
"180","Stony Brook",0
"181","Missouri State",0
"182","TCU",1
"183","Tennessee-Martin",0
"184","Tennessee",1
"185","Tennessee State",0
"186","Tennessee Tech",0
"187","UT San Antonio",1
"188","UTEP",1
"189","Washington",1
"190","Texas Southern",0
"191","Texas Tech",1
"192","Citadel",0
"193","Toledo",1
"194","Washington State",1
"195","Troy",1
"196","Tulane",1
"197","Valparaiso",0
"198","Virginia Military Institute",0
"199","Wagner",0
"200","Weber State",0
"201","Montana-Western",0
"202","Western Illinois",0
"203","Western Michigan",1
"204","Western Carolina",0
"205","William & Mary",0
"206","Wofford",0
"207","Wisconsin",1
"208","Wyoming",1
"209","Youngstown State",0
"210","Grambling",0
"211","Marshall",1
"212","West Virginia",1
"213","Merrimack",0
"214","Fresno State",1
"215","Bryant",0
"216","Indiana State",0
"217","Georgia Southern",1
"218","Incarnate Word",0
"219","Jacksonville",0
"220","Old Dominion",1
"221","USC",1
"222","San Diego",0
"223","UC Davis",0
"224","Idaho State",0
"225","Louisiana",1
"226","Maine",0
"227","Iona",0
"228","Lafayette",0
"229","Coastal Carolina",1
"230","Texas State",1
"231","Utah State",1
"232","Eastern Washington",0
"233","Alabama",1
"234","Kennesaw State",0
"235","Mississippi State",1
"236","Army",1
"237","Illinois",1
"238","Colorado State",1
"239","Colorado",1
"240","Albany",0
"241","Connecticut",1
"242","Yale",0
"243","Georgetown",0
"244","Howard",0
"245","Delaware",0
"246","UAB",1
"247","Florida A&M",0
"248","Florida State",1
"249","Florida Tech",0
"250","Jacksonville State",0
"251","Stetson",0
"252","Montana State-Northern",0
"253","Florida",1
"254","South Florida",1
"255","Georgia Tech",1
"256","South Alabama",1
"257","Georgia",1
"258","Hawai'i",1
"259","Iowa State",1
"260","Boise State",1
"261","Idaho",0
"262","Northwestern",1
"263","Southern Illinois",0
"264","Arkansas",1
"265","Indiana",1
"266","Notre Dame",1
"267","Arizona State",1
"268","Murray State",0
"269","Kentucky",1
"270","Louisville",1
"271","Western Kentucky",1
"272","LSU",1
"273","Adams State",NA
"274","Albany State (GA)",NA
"275","Albion",NA
"276","Alderson-Broaddus",NA
"277","Allen",NA
"278","American International",NA
"279","Angelo State",NA
"280","Apprentice School",NA
"281","Arizona Christian",NA
"282","Arkansas-Monticello",NA
"283","Arkansas Tech",NA
"284","Assumption",NA
"285","Augustana (SD)",NA
"286","Augustana University (SD)",NA
"287","Aurora",NA
"288","Ave Maria",NA
"289","Azusa Pacific",NA
"290","Bacone College",NA
"291","Baker University",NA
"292","Belhaven University",NA
"293","Bemidji State",NA
"294","Benedict College",NA
"295","Bentley",NA
"296","Berry College",NA
"297","Bethany (KS)",NA
"298","Bethel (TN)",NA
"299","Birmingham-Southern",NA
"300","Black Hills State",NA
"301","Bloomsburg",NA
"302","Bluefield College",NA
"303","Bowie State",NA
"304","Brevard College",NA
"305","Buffalo State",NA
"306","California (PA)",NA
"307","Campbellsville",NA
"308","Carnegie Mellon",NA
"309","Carson-Newman",NA
"310","Carthage",NA
"311","Catawba",NA
"312","Catholic University",NA
"313","Central Methodist",NA
"314","Central Missouri State",NA
"315","Central Oklahoma",NA
"316","Central State",NA
"317","Central State (OH)",NA
"318","Central Washington",NA
"319","Centre",NA
"320","Chadron State",NA
"321","Chapman University",NA
"322","Charleston (WV)",NA
"323","Cheyney",NA
"324","Chowan",NA
"325","Clarion",NA
