"","Date","Season","Team","Opponent","Result","Points_For","Points_Against","Spread","Played","Home","Neutral_Location","OT","Game_ID"
"1",2020-10-17,2020,"Louisiana Tech","Marshall","L",17,35,-18,"TRUE",1,FALSE,FALSE,"401207149"
"2",2020-10-17,2020,"Marshall","Louisiana Tech","W",35,17,18,"TRUE",0,FALSE,FALSE,"401207149"
"3",2020-10-17,2020,"Middle Tennessee","North Texas","L",35,52,-17,"TRUE",1,FALSE,FALSE,"401207150"
"4",2020-10-17,2020,"North Texas","Middle Tennessee","W",52,35,17,"TRUE",0,FALSE,FALSE,"401207150"
"5",2020-10-17,2020,"UAB","Western Kentucky","W",37,14,23,"TRUE",1,FALSE,FALSE,"401207153"
"6",2020-10-17,2020,"Western Kentucky","UAB","L",14,37,-23,"TRUE",0,FALSE,FALSE,"401207153"
"7",2020-10-17,2020,"South Florida","Temple","L",37,39,-2,"TRUE",0,FALSE,FALSE,"401212478"
"8",2020-10-17,2020,"Temple","South Florida","W",39,37,2,"TRUE",1,FALSE,FALSE,"401212478"
"9",2020-10-17,2020,"Memphis","UCF","W",50,49,1,"TRUE",1,FALSE,FALSE,"401212537"
"10",2020-10-17,2020,"UCF","Memphis","L",49,50,-1,"TRUE",0,FALSE,FALSE,"401212537"
"11",2020-10-17,2020,"East Carolina","Navy","L",23,27,-4,"TRUE",1,FALSE,FALSE,"401212548"
"12",2020-10-17,2020,"Navy","East Carolina","W",27,23,4,"TRUE",0,FALSE,FALSE,"401212548"
"13",2020-10-17,2020,"South Alabama","Texas State","W",30,20,10,"TRUE",1,FALSE,FALSE,"401215313"
"14",2020-10-17,2020,"Texas State","South Alabama","L",20,30,-10,"TRUE",0,FALSE,FALSE,"401215313"
"15",2020-10-17,2020,"Boston College","Virginia Tech","L",14,40,-26,"TRUE",0,FALSE,FALSE,"401234609"
"16",2020-10-17,2020,"Virginia Tech","Boston College","W",40,14,26,"TRUE",1,FALSE,FALSE,"401234609"
"17",2020-10-17,2020,"Clemson","Georgia Tech","W",73,7,66,"TRUE",0,FALSE,FALSE,"401234610"
"18",2020-10-17,2020,"Georgia Tech","Clemson","L",7,73,-66,"TRUE",1,FALSE,FALSE,"401234610"
"19",2020-10-17,2020,"Duke","NC State","L",20,31,-11,"TRUE",0,FALSE,FALSE,"401234611"
"20",2020-10-17,2020,"NC State","Duke","W",31,20,11,"TRUE",1,FALSE,FALSE,"401234611"
"21",2020-10-17,2020,"Florida State","North Carolina","W",31,28,3,"TRUE",1,FALSE,FALSE,"401234612"
"22",2020-10-17,2020,"North Carolina","Florida State","L",28,31,-3,"TRUE",0,FALSE,FALSE,"401234612"
