"","ID","Name","FBS"
"1","2132","cincinnati-bearcats",1
"2","151","east-carolina-pirates",1
"3","248","houston-cougars",1
"4","235","memphis-tigers",1
"5","2426","navy-midshipmen",1
"6","2567","smu-mustangs",1
"7","58","south-florida-bulls",1
"8","218","temple-owls",1
"9","2655","tulane-green-wave",1
"10","202","tulsa-golden-hurricane",1
"11","2116","ucf-knights",1
"12","103","boston-college-eagles",1
"13","228","clemson-tigers",1
"14","150","duke-blue-devils",1
"15","52","florida-state-seminoles",1
"16","59","georgia-tech-yellow-jackets",1
"17","97","louisville-cardinals",1
"18","2390","miami-hurricanes",1
"19","152","nc-state-wolfpack",1
"20","153","north-carolina-tar-heels",1
"21","87","notre-dame-fighting-irish",1
"22","221","pittsburgh-panthers",1
"23","183","syracuse-orange",1
"24","258","virginia-cavaliers",1
"25","259","virginia-tech-hokies",1
"26","154","wake-forest-demon-deacons",1
"27","239","baylor-bears",1
"28","66","iowa-state-cyclones",1
"29","2305","kansas-jayhawks",1
"30","2306","kansas-state-wildcats",1
"31","201","oklahoma-sooners",1
"32","197","oklahoma-state-cowboys",1
"33","2628","tcu-horned-frogs",1
"34","251","texas-longhorns",1
"35","2641","texas-tech-red-raiders",1
"36","277","west-virginia-mountaineers",1
"37","356","illinois-fighting-illini",1
"38","84","indiana-hoosiers",1
"39","2294","iowa-hawkeyes",1
"40","120","maryland-terrapins",1
"41","127","michigan-state-spartans",1
"42","130","michigan-wolverines",1
"43","135","minnesota-golden-gophers",1
"44","158","nebraska-cornhuskers",1
"45","77","northwestern-wildcats",1
"46","194","ohio-state-buckeyes",1
"47","213","penn-state-nittany-lions",1
"48","2509","purdue-boilermakers",1
"49","164","rutgers-scarlet-knights",1
"50","275","wisconsin-badgers",1
"51","2429","charlotte-49ers",1
"52","2226","florida-atlantic-owls",1
"53","2229","florida-international-panthers",1
"54","2348","louisiana-tech-bulldogs",1
"55","276","marshall-thundering-herd",1
"56","2393","middle-tennessee-blue-raiders",1
"57","249","north-texas-mean-green",1
"58","295","old-dominion-monarchs",1
"59","242","rice-owls",1
"60","2572","southern-mississippi-golden-eagles",1
"61","5","uab-blazers",1
"62","2638","utep-miners",1
"63","2636","utsa-roadrunners",1
"64","98","western-kentucky-hilltoppers",1
"65","349","army-black-knights",1
"66","252","byu-cougars",1
"67","2335","liberty-flames",1
"68","166","new-mexico-state-aggies",1
"69","41","uconn-huskies",1
"70","113","umass-minutemen",1
"71","2006","akron-zips",1
"72","2050","ball-state-cardinals",1
"73","189","bowling-green-falcons",1
"74","2084","buffalo-bulls",1
"75","2117","central-michigan-chippewas",1
"76","2199","eastern-michigan-eagles",1
"77","2309","kent-state-golden-flashes",1
"78","193","miami-oh-redhawks",1
"79","2459","northern-illinois-huskies",1
"80","195","ohio-bobcats",1
"81","2649","toledo-rockets",1
"82","2711","western-michigan-broncos",1
"83","2005","air-force-falcons",1
"84","68","boise-state-broncos",1
"85","36","colorado-state-rams",1
"86","278","fresno-state-bulldogs",1
"87","62","hawaii-rainbow-warriors",1
"88","2440","nevada-wolf-pack",1
"89","167","new-mexico-lobos",1
"90","21","san-diego-state-aztecs",1
"91","23","san-jose-state-spartans",1
"92","2439","unlv-rebels",1
"93","328","utah-state-aggies",1
"94","2751","wyoming-cowboys",1
"95","9","arizona-state-sun-devils",1
"96","12","arizona-wildcats",1
"97","25","california-golden-bears",1
"98","38","colorado-buffaloes",1
"99","2483","oregon-ducks",1
"100","204","oregon-state-beavers",1
"101","24","stanford-cardinal",1
"102","26","ucla-bruins",1
"103","30","usc-trojans",1
"104","254","utah-utes",1
"105","264","washington-huskies",1
"106","265","washington-state-cougars",1
"107","333","alabama-crimson-tide",1
"108","8","arkansas-razorbacks",1
"109","2","auburn-tigers",1
"110","57","florida-gators",1
"111","61","georgia-bulldogs",1
"112","96","kentucky-wildcats",1
"113","99","lsu-tigers",1
"114","344","mississippi-state-bulldogs",1
"115","142","missouri-tigers",1
"116","145","ole-miss-rebels",1
"117","2579","south-carolina-gamecocks",1
"118","2633","tennessee-volunteers",1
"119","245","texas-am-aggies",1
"120","238","vanderbilt-commodores",1
"121","2026","appalachian-state-mountaineers",1
"122","2032","arkansas-state-red-wolves",1
"123","324","coastal-carolina-chanticleers",1
"124","290","georgia-southern-eagles",1
"125","2247","georgia-state-panthers",1
"126","309","louisiana-ragin-cajuns",1
"127","6","south-alabama-jaguars",1
